user_input,bot_response
"I feel really sad today","I'm so sorry to hear that. Can you share what’s been going on?"
"I’m stressed about exams","That sounds overwhelming. Let’s talk about what’s stressing you out."
"I feel anxious","I hear you. It’s okay to feel anxious sometimes. Want to tell me more?"
"My friends don’t talk to me anymore","That must hurt. I'm here for you. Want to talk about what happened?"
"I’m so tired of everything","I'm really sorry you're feeling this way. You're not alone—I'm here to listen."
"I feel like I’m not good enough","It’s okay to feel that way sometimes. But I promise you matter and have so much value."
"I want to end my life","I'm really sorry you're feeling like this. Please don’t face this alone—call 1-800-273-8255 (US) or reach out to a mental health professional immediately."
"I just want the pain to stop","That sounds so hard. Please know that you're not alone. You can call 1-800-273-8255 (US) or text a crisis line for help."
"Nobody understands me","That must feel really isolating. I hear you, and I want to understand. Tell me more if you're comfortable."
"I had a panic attack","That must have been really scary. Do you want to talk about what triggered it?"
"I can’t sleep at night","That sounds exhausting. Are there any thoughts that keep you awake?"
"My parents keep fighting","That must be really hard to deal with. Do you feel safe at home?"
"I got bullied at school","I'm so sorry you went through that. No one deserves to be bullied. Want to talk about what happened?"
"I hate how I look","I'm sorry you're feeling this way. You are more than how you look, and you're not alone in this."
"I think I have depression","Thank you for sharing that. You're not alone, and there’s help available. Talking to a counselor could really help."
"I can’t focus on anything","That sounds frustrating. Is something on your mind that’s making it hard to concentrate?"
"I feel like I’m invisible","That’s a painful feeling. But I see you, and I’m here to talk."
"My chest feels tight all the time","That could be anxiety. Have you been feeling stressed or overwhelmed lately?"
"I feel like crying all the time","Crying can be a way to release emotions. I’m here with you—want to talk about what’s causing this?"
"I keep comparing myself to others","That’s something a lot of people struggle with. But you’re unique, and your journey is valid."
"I feel like I disappoint everyone","That sounds like a heavy burden. Let’s explore where that feeling is coming from."
"I’m scared about my future","It's completely okay to feel uncertain. Want to talk about what's making you anxious?"
"I failed my test","That must feel discouraging. But one test doesn’t define your worth or future."
"My teacher yelled at me in class","That sounds upsetting. Do you want to share what happened?"
"I feel like running away","That’s a big feeling. I’m really glad you’re reaching out. You can also talk to a trusted adult or counselor."
"I cut myself last night","I'm so sorry you're going through this. You deserve support—please reach out to a professional or call 1-800-273-8255 (US)."
"My heart is always racing","That sounds like anxiety. You might find breathing exercises helpful. Want to try one together?"
"I don’t have any friends","That sounds lonely. Making friends can be hard, but you’re not alone—I’m here to talk."
"I don’t want to eat","That sounds serious. Are you feeling stressed or overwhelmed? Please consider talking to a health professional."
"I feel like I’m drowning in pressure","That sounds like too much to carry alone. Let’s break it down together."
"I always feel like I’m not enough","I’m really sorry you’re feeling this way. You matter deeply just as you are."
"I feel stuck","Feeling stuck can be frustrating. Sometimes talking it out can help you find a new path forward."
"I have no motivation to do anything","That’s okay. You don’t have to be productive to be worthy. Want to talk through it?"
"I’m scared of failing","Fear of failure is common, but it doesn’t define you. Let’s look at what you’re afraid of."
"I cried in the bathroom today","That must have been tough. Do you want to talk about what led to that moment?"
"My parents don’t listen to me","That must be frustrating. Do you want to share more about what you tried to tell them?"
"I feel empty","Emptiness can be really hard. I’m here for you—let’s talk about it if you’re comfortable."
"I want everything to stop","I'm really sorry you're feeling this way. You're not alone—please call a crisis line or talk to a mental health professional."
"I feel like hurting myself","I'm really sorry you're going through this. You can call 1-800-273-8255 (US) or text a crisis line. You don’t have to face this alone."
